# DATE : 2020-2-11 8:7:1
# INFO : exposure time 1000 [us]
# INFO : T 27.75 [C]
# INFO : W1 UID 2600000bb8399628
# CAL.A0 = 313.106
# CAL.B1 = 2.71506
# CAL.B2 = -0.00141007
# CAL.B3 = -5.95179e-06
# CAL.B4 = 3.67493e-09
# CAL.B5 = 1.23705e-11
# PIX WL        VALUE
    0 340.109   1724
    1 342.793   1676
    2 345.473   1660
    3 348.150   1665
    4 350.824   1628
    5 353.494   1669
    6 356.162   1694
    7 358.825   1689
    8 361.486   1741
    9 364.142   1720
   10 366.796   1741
   11 369.446   1806
   12 372.092   1791
   13 374.735   1824
   14 377.374   1841
   15 380.009   1809
   16 382.641   1884
   17 385.269   2308
   18 387.894   2677
   19 390.514   2760
   20 393.131   2588
   21 395.744   2052
   22 398.353   1796
   23 400.958   1771
   24 403.559   1796
   25 406.156   1777
   26 408.750   1782
   27 411.339   1755
   28 413.924   1732
   29 416.505   1754
   30 419.082   1823
   31 421.654   1979
   32 424.223   4090
   33 426.787   5720
   34 429.347   6068
   35 431.903   5980
   36 434.454   3406
   37 437.001   2774
   38 439.544   2790
   39 442.082   2977
   40 444.616   3282
   41 447.146   3557
   42 449.671   4013
   43 452.191   4825
   44 454.707  10490
   45 457.218  14162
   46 459.725  14183
   47 462.227  13904
   48 464.724   8174
   49 467.217   5703
   50 469.705   5640
   51 472.188   5750
   52 474.666   5746
   53 477.140   5823
   54 479.609   5784
   55 482.072   5698
   56 484.531   5584
   57 486.986   5469
   58 489.435   5270
   59 491.879   5068
   60 494.318   4814
   61 496.752   4660
   62 499.181   4795
   63 501.605   5664
   64 504.024   7782
   65 506.438  10288
   66 508.847  11730
   67 511.250  12080
   68 513.649  10695
   69 516.042   8554
   70 518.430   6791
   71 520.812   5221
   72 523.190   4118
   73 525.562   3275
   74 527.928   2834
   75 530.290   2582
   76 532.645   2387
   77 534.996   2288
   78 537.341   2275
   79 539.681   2211
   80 542.015   2235
   81 544.343   2234
   82 546.667   2306
   83 548.984   2575
   84 551.296   3105
   85 553.603   4283
   86 555.903   7428
   87 558.199  13293
   88 560.488  15221
   89 562.772  15260
   90 565.050  15159
   91 567.323  15237
   92 569.590  15256
   93 571.851  15024
   94 574.106  10017
   95 576.356   6144
   96 578.599   4123
   97 580.837   3125
   98 583.069   2631
   99 585.295   2453
  100 587.516   2363
  101 589.730   2424
  102 591.939   2952
  103 594.141   3951
  104 596.338   5228
  105 598.529   6635
  106 600.714   7992
  107 602.893   8794
  108 605.065   9096
  109 607.232   8971
  110 609.393   8681
  111 611.548   7756
  112 613.696   7028
  113 615.839   6410
  114 617.975   5971
  115 620.106   5639
  116 622.230   6100
  117 624.348   9458
  118 626.460  14223
  119 628.566  15180
  120 630.666  15127
  121 632.760  15211
  122 634.847  15172
  123 636.928  13409
  124 639.003   9530
  125 641.072   8052
  126 643.134   7743
  127 645.191   7699
  128 647.241   7394
  129 649.284   6637
  130 651.322   5529
  131 653.353   4377
  132 655.378   3399
  133 657.397   2675
  134 659.409   2533
  135 661.415   2450
  136 663.415   2565
  137 665.408   2689
  138 667.395   2795
  139 669.376   2893
  140 671.350   2837
  141 673.319   2733
  142 675.280   2575
  143 677.236   2444
  144 679.184   2478
  145 681.127   2401
  146 683.063   2334
  147 684.993   2284
  148 686.917   2152
  149 688.834   2077
  150 690.744   2063
  151 692.649   2015
  152 694.547   2040
  153 696.438   2020
  154 698.323   2041
  155 700.202   2114
  156 702.074   2152
  157 703.940   2187
  158 705.800   2207
  159 707.653   2124
  160 709.499   2091
  161 711.340   1952
  162 713.173   1872
  163 715.001   1886
  164 716.822   1913
  165 718.637   2089
  166 720.445   2474
  167 722.247   2787
  168 724.043   3176
  169 725.832   3250
  170 727.614   3166
  171 729.391   2839
  172 731.161   2420
  173 732.925   2033
  174 734.682   1823
  175 736.433   1627
  176 738.177   1636
  177 739.916   1624
  178 741.647   1581
  179 743.373   1614
  180 745.092   1591
  181 746.805   1586
  182 748.512   1593
  183 750.212   1567
  184 751.906   1607
  185 753.594   1591
  186 755.275   1571
  187 756.951   1603
  188 758.620   1607
  189 760.282   1574
  190 761.939   1628
  191 763.589   1603
  192 765.233   1601
  193 766.871   1599
  194 768.503   1569
  195 770.128   1587
  196 771.748   1565
  197 773.361   1563
  198 774.968   1587
  199 776.569   1590
  200 778.164   1629
  201 779.752   1600
  202 781.335   1580
  203 782.912   1604
  204 784.483   1576
  205 786.047   1572
  206 787.606   1584
  207 789.158   1538
  208 790.705   1565
  209 792.246   1541
  210 793.781   1533
  211 795.309   1561
  212 796.832   1546
  213 798.350   1534
  214 799.861   1552
  215 801.366   1505
  216 802.866   1564
  217 804.360   1544
  218 805.848   1549
  219 807.330   1567
  220 808.807   1551
  221 810.278   1584
  222 811.743   1597
  223 813.203   1563
  224 814.657   1598
  225 816.106   1591
  226 817.548   1608
  227 818.986   1657
  228 820.418   1608
  229 821.844   1615
  230 823.265   1661
  231 824.680   1645
  232 826.090   1664
  233 827.495   1631
  234 828.894   1605
  235 830.288   1594
  236 831.677   1575
  237 833.061   1593
